StimType,Stimulus,ResponseType,Trial,,,Stimuli/
newposface,Stimuli/PracticeRec4.bmp,,,PracticeRec4.bmp,,
oldposface,Stimuli/PracticeHO2.bmp,,,PracticeHO2.bmp,,
Break,Break,,,,,
oldplace,Stimuli/PL_051_SCENE08.bmp,old,1,,,PL_051_SCENE08.bmp
newneutface,Stimuli/LM207_NC.bmp,new,2,,,LM207_NC.bmp
newplace,Stimuli/PL_003_92016.bmp,new,3,,,PL_003_92016.bmp
newposface,Stimuli/45M_HO.bmp,new,4,,,45M_HO.bmp
oldneutface,Stimuli/LM213_NC.bmp,old,5,,,LM213_NC.bmp
oldnegface,Stimuli/BF023_FO.bmp,old,6,,,BF023_FO.bmp
newnegface,Stimuli/HM05_FO.bmp,new,7,,,HM05_FO.bmp
oldplace,Stimuli/PL_053_SCENE15.bmp,old,8,,,PL_053_SCENE15.bmp
newneutface,Stimuli/7F_NC.bmp,new,9,,,7F_NC.bmp
oldneutface,Stimuli/AF225_NC.bmp,old,10,,,AF225_NC.bmp
newnegface,Stimuli/BF06_FO.bmp,new,11,,,BF06_FO.bmp
newplace,Stimuli/PL_004_92023.bmp,new,12,,,PL_004_92023.bmp
oldposface,Stimuli/HM01_HO.bmp,old,13,,,HM01_HO.bmp
oldposface,Stimuli/22M_HO.bmp,old,14,,,22M_HO.bmp
oldnegface,Stimuli/AM03_FO.bmp,old,15,,,AM03_FO.bmp
newposface,Stimuli/AF02_HO.bmp,new,16,,,AF02_HO.bmp
oldplace,Stimuli/PL_057_TUFTS06BW.bmp,old,17,,,PL_057_TUFTS06BW.bmp
oldneutface,Stimuli/BM07_NC.bmp,old,18,,,BM07_NC.bmp
newplace,Stimuli/PL_012_92047.bmp,new,19,,,PL_012_92047.bmp
oldnegface,Stimuli/WF015_FO.bmp,old,20,,,WF015_FO.bmp
newnegface,Stimuli/28M_FO.bmp,new,21,,,28M_FO.bmp
oldposface,Stimuli/18F_HO.bmp,old,22,,,18F_HO.bmp
newneutface,Stimuli/BM03_NC.bmp,new,23,,,BM03_NC.bmp
newplace,Stimuli/PL_001_92012.bmp,new,24,,,PL_001_92012.bmp
oldplace,Stimuli/PL_061_TUFTS11BW.bmp,old,25,,,PL_061_TUFTS11BW.bmp
oldposface,Stimuli/AM01_HO.bmp,old,26,,,AM01_HO.bmp
oldneutface,Stimuli/AF219_NC.bmp,old,27,,,AF219_NC.bmp
oldnegface,Stimuli/37M_FO.bmp,old,28,,,37M_FO.bmp
newnegface,Stimuli/10F_FO.bmp,new,29,,,10F_FO.bmp
newneutface,Stimuli/42M_NC.bmp,new,30,,,42M_NC.bmp
newposface,Stimuli/HF04_HO.bmp,new,31,,,HF04_HO.bmp
newposface,Stimuli/BM08_HO.bmp,new,32,,,BM08_HO.bmp
newplace,Stimuli/PL_011_92044.bmp,new,33,,,PL_011_92044.bmp
oldplace,Stimuli/PL_060_TUFTS10BW.bmp,old,34,,,PL_060_TUFTS10BW.bmp
newposface,Stimuli/WM011_HO.bmp,new,35,,,WM011_HO.bmp
newnegface,Stimuli/17F_FO.bmp,new,36,,,17F_FO.bmp
oldnegface,Stimuli/WM033_FO.bmp,old,37,,,WM033_FO.bmp
oldposface,Stimuli/HF03_HO.bmp,old,38,,,HF03_HO.bmp
newneutface,Stimuli/LF227_NC.bmp,new,39,,,LF227_NC.bmp
oldneutface,Stimuli/8F_NC.bmp,old,40,,,8F_NC.bmp
oldplace,Stimuli/PL_056_TUFTS02BW.bmp,old,41,,,PL_056_TUFTS02BW.bmp
newplace,Stimuli/PL_009_92037.bmp,new,42,,,PL_009_92037.bmp
newnegface,Stimuli/HM03_FO.bmp,new,43,,,HM03_FO.bmp
