StimType,Stimulus,ResponseType,Trial,,,Stimuli/
newposface,Stimuli/PracticeRec4.bmp,,,PracticeRec4.bmp,,
oldposface,Stimuli/PracticeHO2.bmp,,,PracticeHO2.bmp,,
Break,Break,,,,,
newnegface,Stimuli/HM03_FO.bmp,new,1,,,HM03_FO.bmp
oldposface,Stimuli/HF02_HO.bmp,old,2,,,HF02_HO.bmp
oldnegface,Stimuli/43M_FO.bmp,old,3,,,43M_FO.bmp
newplace,Stimuli/PL_001_92012.bmp,new,4,,,PL_001_92012.bmp
newplace,Stimuli/PL_009_92037.bmp,new,5,,,PL_009_92037.bmp
oldneutface,Stimuli/LM211_NC.bmp,old,6,,,LM211_NC.bmp
oldposface,Stimuli/20M_HO.bmp,old,7,,,20M_HO.bmp
newneutface,Stimuli/AM228_NC.bmp,new,8,,,AM228_NC.bmp
newneutface,Stimuli/LF227_NC.bmp,new,9,,,LF227_NC.bmp
newposface,Stimuli/12F_HO.bmp,new,10,,,12F_HO.bmp
oldnegface,Stimuli/AM05_FO.bmp,old,11,,,AM05_FO.bmp
oldplace,Stimuli/PL_040_LEXINGTON16.bmp,old,12,,,PL_040_LEXINGTON16.bmp
oldneutface,Stimuli/AF235_NC.bmp,old,13,,,AF235_NC.bmp
oldplace,Stimuli/PL_045_SCENE02.bmp,old,14,,,PL_045_SCENE02.bmp
newnegface,Stimuli/9F_FO.bmp,new,15,,,9F_FO.bmp
newposface,Stimuli/34M_HO.bmp,new,16,,,34M_HO.bmp
newplace,Stimuli/PL_010_92038.bmp,new,17,,,PL_010_92038.bmp
oldplace,Stimuli/PL_048_SCENE05.bmp,old,18,,,PL_048_SCENE05.bmp
oldposface,Stimuli/BF016_HO.bmp,old,19,,,BF016_HO.bmp
oldnegface,Stimuli/5F_FO.bmp,old,20,,,5F_FO.bmp
newposface,Stimuli/BF037_HO.bmp,new,21,,,BF037_HO.bmp
newnegface,Stimuli/39M_FO.bmp,new,22,,,39M_FO.bmp
newneutface,Stimuli/AF218_NC.bmp,new,23,,,AF218_NC.bmp
oldneutface,Stimuli/BM04_NC.bmp,old,24,,,BM04_NC.bmp
oldneutface,Stimuli/BF201_NC.bmp,old,25,,,BF201_NC.bmp
oldnegface,Stimuli/BF10_FO.bmp,old,26,,,BF10_FO.bmp
oldplace,Stimuli/PL_046_SCENE03.bmp,old,27,,,PL_046_SCENE03.bmp
newneutface,Stimuli/42M_NC.bmp,new,28,,,42M_NC.bmp
oldposface,Stimuli/BM06_HO.bmp,old,29,,,BM06_HO.bmp
newposface,Stimuli/WM011_HO.bmp,new,30,,,WM011_HO.bmp
newnegface,Stimuli/WM004_FO.bmp,new,31,,,WM004_FO.bmp
newplace,Stimuli/PL_003_92016.bmp,new,32,,,PL_003_92016.bmp
newneutface,Stimuli/7F_NC.bmp,new,33,,,7F_NC.bmp
oldneutface,Stimuli/WF02_NC.bmp,old,34,,,WF02_NC.bmp
oldposface,Stimuli/WM01_HO.bmp,old,35,,,WM01_HO.bmp
newnegface,Stimuli/BF003_FO.bmp,new,36,,,BF003_FO.bmp
oldplace,Stimuli/PL_042_LEXINGTON18.bmp,old,37,,,PL_042_LEXINGTON18.bmp
newplace,Stimuli/PL_006_92025.bmp,new,38,,,PL_006_92025.bmp
newplace,Stimuli/PL_007_92026.bmp,new,39,,,PL_007_92026.bmp
oldnegface,Stimuli/WM003_FO.bmp,old,40,,,WM003_FO.bmp
newneutface,Stimuli/BM03_NC.bmp,new,41,,,BM03_NC.bmp
newposface,Stimuli/HF04_HO.bmp,new,42,,,HF04_HO.bmp
newposface,Stimuli/BM08_HO.bmp,new,43,,,BM08_HO.bmp
oldneutface,Stimuli/AM210_NC.bmp,old,44,,,AM210_NC.bmp
