BlockType,TargetType,Stimulus,Stim_CRESP,Block,Run
Cue2Back,Faces,,,1,1
2-Back,PosFace,Stimuli/23M_HO.bmp,nonlure,1,1
2-Back,PosFace,Stimuli/12F_HO.bmp,nonlure,1,1
2-Back,PosFace,Stimuli/AF02_HO.bmp,nonlure,1,1
2-Back,PosFace,Stimuli/12F_HO.bmp,target,1,1
2-Back,PosFace,Stimuli/WM011_HO.bmp,nonlure,1,1
2-Back,PosFace,Stimuli/HM04_HO.bmp,nonlure,1,1
2-Back,PosFace,Stimuli/AF02_HO.bmp,lure,1,1
2-Back,PosFace,Stimuli/BF037_HO.bmp,nonlure,1,1
2-Back,PosFace,Stimuli/WM011_HO.bmp,lure,1,1
2-Back,PosFace,Stimuli/BF037_HO.bmp,target,1,1
Cue0Back,Faces,Stimuli/AF218_NC.bmp,target,2,1
0-Back,NeutFace,Stimuli/LF206_NC.bmp,nonlure,2,1
0-Back,NeutFace,Stimuli/AF218_NC.bmp,target,2,1
0-Back,NeutFace,Stimuli/42M_NC.bmp,nonlure,2,1
0-Back,NeutFace,Stimuli/BM09_NC.bmp,nonlure,2,1
0-Back,NeutFace,Stimuli/BM09_NC.bmp,lure,2,1
0-Back,NeutFace,Stimuli/AF218_NC.bmp,target,2,1
0-Back,NeutFace,Stimuli/7F_NC.bmp,nonlure,2,1
0-Back,NeutFace,Stimuli/7F_NC.bmp,lure,2,1
0-Back,NeutFace,Stimuli/42M_NC.bmp,lure,2,1
0-Back,NeutFace,Stimuli/LM207_NC.bmp,nonlure,2,1
Cue2Back,Faces,,,3,1
2-Back,NegFace,Stimuli/17F_FO.bmp,nonlure,3,1
2-Back,NegFace,Stimuli/HM03_FO.bmp,nonlure,3,1
2-Back,NegFace,Stimuli/BM045_FO.bmp,nonlure,3,1
2-Back,NegFace,Stimuli/HM03_FO.bmp,target,3,1
2-Back,NegFace,Stimuli/17F_FO.bmp,lure,3,1
2-Back,NegFace,Stimuli/BM045_FO.bmp,lure,3,1
2-Back,NegFace,Stimuli/9F_FO.bmp,nonlure,3,1
2-Back,NegFace,Stimuli/WM004_FO.bmp,nonlure,3,1
2-Back,NegFace,Stimuli/9F_FO.bmp,target,3,1
2-Back,NegFace,Stimuli/BF06_FO.bmp,nonlure,3,1
Cue0Back,Faces,Stimuli/34M_HO.bmp,target,4,1
0-Back,PosFace,Stimuli/34M_HO.bmp,target,4,1
0-Back,PosFace,Stimuli/BM08_HO.bmp,nonlure,4,1
0-Back,PosFace,Stimuli/HF04_HO.bmp,nonlure,4,1
0-Back,PosFace,Stimuli/BF002_HO.bmp,nonlure,4,1
0-Back,PosFace,Stimuli/BM08_HO.bmp,lure,4,1
0-Back,PosFace,Stimuli/45M_HO.bmp,nonlure,4,1
0-Back,PosFace,Stimuli/45M_HO.bmp,lure,4,1
0-Back,PosFace,Stimuli/BF002_HO.bmp,lure,4,1
0-Back,PosFace,Stimuli/34M_HO.bmp,target,4,1
0-Back,PosFace,Stimuli/WF07_HO.bmp,nonlure,4,1
Cue0Back,Place,Stimuli/PL_001_92012.bmp,target,5,1
0-Back,Place,Stimuli/PL_003_92016.bmp,nonure,5,1
0-Back,Place,Stimuli/PL_003_92016.bmp,lure,5,1
0-Back,Place,Stimuli/PL_006_92025.bmp,nonlure,5,1
0-Back,Place,Stimuli/PL_001_92012.bmp,taget,5,1
0-Back,Place,Stimuli/PL_004_92023.bmp,nonlure,5,1
0-Back,Place,Stimuli/PL_005_92024.bmp,nonlure,5,1
0-Back,Place,Stimuli/PL_001_92012.bmp,target,5,1
0-Back,Place,Stimuli/PL_002_92014.bmp,nonlure,5,1
0-Back,Place,Stimuli/PL_004_92023.bmp,lure,5,1
0-Back,Place,Stimuli/PL_006_92025.bmp,lure,5,1
Cue2Back,Faces,,,6,1
2-Back,NeutFace,Stimuli/AM228_NC.bmp,nonlure,6,1
2-Back,NeutFace,Stimuli/26M_NC.bmp,nonlure,6,1
2-Back,NeutFace,Stimuli/AM228_NC.bmp,target,6,1
2-Back,NeutFace,Stimuli/LF227_NC.bmp,nonlure,6,1
2-Back,NeutFace,Stimuli/26M_NC.bmp,lure,6,1
2-Back,NeutFace,Stimuli/LF227_NC.bmp,target,6,1
2-Back,NeutFace,Stimuli/AF206_NC.bmp,nonlure,6,1
2-Back,NeutFace,Stimuli/AF206_NC.bmp,lure,6,1
2-Back,NeutFace,Stimuli/BM03_NC.bmp,nonlure,6,1
2-Back,NeutFace,Stimuli/WF012_NC.bmp,nonlure,6,1
Cue0Back,Faces,Stimuli/39M_FO,target,7,1
0-Back,NegFace,Stimuli/BF003_FO.bmp,nonlure,7,1
0-Back,NegFace,Stimuli/HM05_FO.bmp,nonlure,7,1
0-Back,NegFace,Stimuli/HM05_FO.bmp,lure,7,1
0-Back,NegFace,Stimuli/10F_FO.bmp,nonlure,7,1
0-Back,NegFace,Stimuli/BF09_FO.bmp,nonlure,7,1
0-Back,NegFace,Stimuli/28M_FO.bmp,nonlure,7,1
0-Back,NegFace,Stimuli/BF003_FO.bmp,lure,7,1
